faculty_id,division_id,subject_id,time_slot_id,day_number,room_hashed,is_clash
4,8,8,3,0,101.0,0
4,7,11,5,0,102.0,0
4,8,9,4,0,101.0,0
4,6,8,3,1,102.0,0
4,5,5,6,0,101.0,0
4,5,5,4,1,102.0,0
4,5,5,5,2,103.0,0
4,5,5,6,3,104.0,0
4,5,5,7,4,105.0,0
4,5,6,3,0,201.0,0
4,5,6,4,1,202.0,0
4,5,6,5,2,203.0,0
4,5,6,6,3,101.0,0
4,5,6,7,4,102.0,0
4,5,7,3,0,93.0,0
4,5,7,4,1,104.0,0
4,5,7,5,2,105.0,0
4,5,7,6,3,201.0,0
4,5,7,7,4,202.0,0
4,5,8,3,0,203.0,0
4,5,8,4,1,101.0,0
4,5,8,5,2,102.0,0
4,5,8,6,3,103.0,0
4,5,8,7,4,104.0,0
5,5,5,3,0,105.0,0
5,5,5,4,1,201.0,0
5,5,5,5,2,202.0,0
5,5,5,6,3,203.0,0
5,5,5,7,4,101.0,0
5,5,6,3,0,102.0,0
5,5,6,4,1,103.0,0
5,5,6,5,2,104.0,0
5,5,6,6,3,105.0,0
5,5,6,7,4,201.0,0
5,5,7,3,0,202.0,0
5,5,7,4,1,203.0,0
5,5,7,5,2,101.0,0
5,5,7,6,3,102.0,0
5,5,7,7,4,103.0,0
5,5,8,3,0,104.0,0
5,5,8,4,1,105.0,0
5,5,8,5,2,201.0,0
5,5,8,6,3,202.0,0
5,5,8,7,4,203.0,0
6,5,5,3,0,101.0,0
6,5,5,4,1,102.0,0
6,5,5,5,2,103.0,0
6,5,5,6,3,104.0,0
6,5,5,7,4,105.0,0
6,5,6,3,0,201.0,0
6,5,6,4,1,202.0,0
6,5,6,5,2,203.0,0
6,5,6,6,3,101.0,0
6,5,6,7,4,102.0,0
6,5,7,3,0,103.0,0
6,5,7,4,1,104.0,0
6,5,7,5,2,105.0,0
6,5,7,6,3,201.0,0
6,5,7,7,4,202.0,0
6,5,8,3,0,203.0,0
6,5,8,4,1,101.0,0
6,5,8,5,2,102.0,0
6,5,8,6,3,103.0,0
6,5,8,7,4,104.0,0
4,6,9,6,0,101.0,0
6,6,8,5,0,103.0,0
7,8,11,5,0,101.0,0
4,8,9,3,2,101.0,0
4,7,9,3,0,201.0,1
7,8,6,3,0,102.0,1
7,8,11,3,0,105.0,1
4,7,8,3,2,93.0,1
7,8,8,3,2,104.0,1
6,9,10,3,2,101.0,1
